url;home
bbc.co.uk/programmes/b006m86d/episodes/guide;True
bbc.co.uk/programmes/b006qpgr/episodes/player;True
bbc.co.uk/programmes/b006vq92/clips;False
bbc.co.uk/programmes/b009zbr2/episodes/guide;True
bbc.co.uk/programmes/b00lvdrj/episodes/downloads;True
bbc.co.uk/programmes/b039vfbv;False
bbc.co.uk/programmes/b08fn2sv;False
bbc.co.uk/programmes/b096gnqx;False
bbc.co.uk/programmes/b09pjldq;False
bbc.co.uk/programmes/b0bk1vl1;True
bbc.co.uk/programmes/m0000h0w;False
bbc.co.uk/programmes/p010sw88/p010stjs;False
bbc.co.uk/programmes/p05mp5n5;False
bbc.co.uk/programmes/p06crp3c;True
bbc.co.uk/programmes/p06lrl5q;False
bbc.co.uk/schedules/p00fzl6h;True
bbc.co.uk/schedules/p00fzl6h/2018/09/23;False
bbc.co.uk/schedules/p00fzl7g#on-now;True
bbc.co.uk/schedules/p00fzl7h/2018/09/09;False
bbc.co.uk/schedules/p00fzl7j;True
bbc.co.uk/schedules/p00fzl7j#on-now;True
bbc.co.uk/schedules/p00fzl8t/2018/08/27;False
bbc.co.uk/schedules/p00fzl8v;True
bbc.co.uk/schedules/p00fzl8v#on-now;True
bbc.co.uk/schools;True
bbc.co.uk/search?q=World%20Equestrian%20Games&suggid=urn%3Abbc%3Aprogrammes%3Ab082wtdl;False
bbc.co.uk/search?q=farage;True
bbc.co.uk/showsandtours/shows;True
bbc.co.uk/skillswise/0;True
bbc.co.uk/sounds/schedules;True
bbc.co.uk/sport/american-football;True
bbc.co.uk/sport/american-football/results;True
bbc.co.uk/sport/athletics/39172628;False
bbc.co.uk/sport/boxing;True
bbc.co.uk/sport/cricket/45332379;False
bbc.co.uk/sport/cricket/45447578;False
bbc.co.uk/sport/cricket/45459691;False
bbc.co.uk/sport/cricket/county-championship-division-two/table;True
bbc.co.uk/sport/cricket/results;True
bbc.co.uk/sport/cricket/scorecard/ECKO43223;False
bbc.co.uk/sport/cricket/scorecard/ECKO44238;False
bbc.co.uk/sport/cricket/tables;True
bbc.co.uk/sport/cricket/teams/england;True
bbc.co.uk/sport/darts;True
bbc.co.uk/sport/football/45312123;False
bbc.co.uk/sport/football/45375373;False
bbc.co.uk/sport/football/45378096;False
bbc.co.uk/sport/football/45379630;False
bbc.co.uk/sport/football/45529809;False
bbc.co.uk/sport/football/45538156;False
bbc.co.uk/sport/football/45555895;False
bbc.co.uk/sport/football/45569330;False
bbc.co.uk/sport/football/45648130;False
bbc.co.uk/sport/football/45772318;False
bbc.co.uk/sport/football/45832123;False
bbc.co.uk/sport/football/champions-league/scores-fixtures;True
bbc.co.uk/sport/football/champions-league/table;True
bbc.co.uk/sport/football/championship/scores-fixtures/2018-10?filter=results;False
bbc.co.uk/sport/football/europa-league/scores-fixtures;True
bbc.co.uk/sport/football/europa-league/table;True
bbc.co.uk/sport/football/european;True
bbc.co.uk/sport/football/fa-cup;True
bbc.co.uk/sport/football/fa-cup/scores-fixtures;True
bbc.co.uk/sport/football/french-ligue-one/table;True
bbc.co.uk/sport/football/german-bundesliga/table;True
bbc.co.uk/sport/football/italian-serie-a/table;True
bbc.co.uk/sport/football/league-cup/scores-fixtures;True
bbc.co.uk/sport/football/league-one;True
bbc.co.uk/sport/football/league-two;True
bbc.co.uk/sport/football/league-two/scores-fixtures;True
bbc.co.uk/sport/football/national-league-north/table;True
bbc.co.uk/sport/football/national-league-south/table;True
bbc.co.uk/sport/football/national-league/table;True
bbc.co.uk/sport/football/nations-league/scores-fixtures;True
bbc.co.uk/sport/football/nations-league/table;True
bbc.co.uk/sport/football/premier-league;True
bbc.co.uk/sport/football/premier-league/scores-fixtures/2018-09?filter=results;False
bbc.co.uk/sport/football/premier-league/top-scorers;True
bbc.co.uk/sport/football/scottish-championship/table;True
bbc.co.uk/sport/football/scottish-league-one/table;True
bbc.co.uk/sport/football/scottish-league-two/table;True
bbc.co.uk/sport/football/scottish/gossip;True
bbc.co.uk/sport/football/spanish-la-liga/table;True
bbc.co.uk/sport/football/teams/afc-wimbledon/scores-fixtures;False
bbc.co.uk/sport/football/teams/bolton-wanderers;True
bbc.co.uk/sport/football/teams/leeds-united;True
bbc.co.uk/sport/football/teams/maidstone-united/table;True
bbc.co.uk/sport/football/teams/manchester-united;True
bbc.co.uk/sport/football/teams/rayo-vallecano/table;True
bbc.co.uk/sport/football/teams/tottenham-hotspur;True
